volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
7	1A	1	1		ABAILARD, PIERRE. The letters of Abelard and Heloise; translated from the Latin by C. K. Scott Moncrieff, with a prefatory letter by George Moore. (The Blue jade library)		A883674	1926-02-19	R112040	1953-05-15	Alfred A. Knopf, inc.|PWH	pub. abroad|1925-09-17|AI-7349					ABAILARD, PIERRE. The letters of Abelard and Heloise; translated from the Latin by C. K. Scott Moncrieff, with a prefatory letter by George Moore. (The Blue jade library) © 19Feb26, (pub. abroad 17Sep25, AI-7349), A883674. R112040, 15May53, Alfred A. Knopf, inc. (PWH)
7	1A	1	1		ABAILARD, PIERRE. Love letters of Abelard and Heloise, edited by Lloyd E. Smith. (Little blue book, no. 871)		A867103	1925-08-31	R111277	1953-04-23	Haldeman-Julius Co.|PWH						ABAILARD, PIERRE. Love letters of Abelard and Heloise, edited by Lloyd E. Smith. (Little blue book, no. 871) © 31Aug25, A867103. R111277, 23Apr53, Haldeman-Julius Co. (PWH)
7	1A	1	1		ABBOT, CHARLES G. The earth and the stars.		A864710	1925-09-02	R112347	1953-05-20	Charles G. Abbot|A						ABBOT, CHARLES G. The earth and the stars. © 2Sep25, A864710. R112347, 20May53, Charles G. Abbot (A)
7	1A	1	1		ABBOTT, AUSTIN. Digest of all the New York reports. Third supplement, 1918-1924. Vol. 1-3. v. 1.		A890118	1926-02-02	R110633	1953-04-20	The Lawyers Co-operative Pub. Co.|PCW						ABBOTT, AUSTIN. Digest of all the New York reports. Third supplement, 1918-1924. Vol. 1-3. © The Lawyers Co-operative Pub. Co. (PCW) v. 1. © 2Feb26, A890118. R110633, 20Apr53.
7	1A	1	1		ABBOTT, AUSTIN. Digest of all the New York reports. Third supplement, 1918-1924. Vol. 1-3. v. 2.		A890119	1926-02-02	R110634	1953-04-20	The Lawyers Co-operative Pub. Co.|PCW						ABBOTT, AUSTIN. Digest of all the New York reports. Third supplement, 1918-1924. Vol. 1-3. © The Lawyers Co-operative Pub. Co. (PCW) v. 2. © 2Feb26, A890119. R110634, 20Apr53.
7	1A	1	1		ABBOTT, AUSTIN. Digest of all the New York reports. Third supplement, 1918-1924. Vol. 1-3. v. 3.		A883972	1926-04-05	R110632	1953-04-20	The Lawyers Co-operative Pub. Co.|PCW						ABBOTT, AUSTIN. Digest of all the New York reports. Third supplement, 1918-1924. Vol. 1-3. © The Lawyers Co-operative Pub. Co. (PCW) v. 3. © 5Apr26, A883972. R110632, 20Apr53.
7	1A	1	1		ABBOTT, AUSTIN. Digest of all the New York reports, 1924.		A855369	1925-05-21	R110611	1953-04-20	The Lawyers Co-operative Pub. Co.|PCW						ABBOTT, AUSTIN. Digest of all the New York reports, 1924. © 21May25, A855369. R110611, 20Apr53, The Lawyers Co-operative Pub. Co. (PCW)
7	1A	1	1		ABBOTT, CHARLES D. Howard Pyle, a chronicle; with an introd. by N. C. Wyeth, and many illus. from Howard Pyle's works.		A872720	1925-12-02	R104881	1952-12-30	Charles D. Abbott|A						ABBOTT, CHARLES D. Howard Pyle, a chronicle; with an introd. by N. C. Wyeth, and many illus. from Howard Pyle's works. © 2Dec25, A872720. R104881, 30Dec52, Charles D. Abbott (A)
7	1A	1	1		ABBOTT AND WALKER, INC. Laundry advertising campaign. (Sweet and clean series)		A865482	1925-08-04	R113237	1953-06-11	Local Trademarks, inc.|PWH						ABBOTT AND WALKER, INC. Laundry advertising campaign. (Sweet and clean series) © 4Aug25, A865482. R113237, 11Jun53, Local Trademarks, inc. (PWH)
7	1A	1	1		ABT, ISAAC A., ed. Pediatrics, v. 6-7. v. 6.		A823568	1925-03-20	R106479	1953-01-29	W. B. Saunders Co.|PCW						ABT, ISAAC A., ed. Pediatrics, v. 6-7. © W. B. Saunders Co. (PCW) v. 6. © 20Mar25, A823568. R106479, 29Jan53.
