entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
30fec723-238a-57f8-b45b-3caa6196e5bb	18	1	1	1	ABBE, JOHN.	Around the world in eleven years. By John Abbe, Richard Abbe & Patience Abbe.	A92824	1936-04-06	R332913	1964-03-02	John Abbe, Richard Abbe & Patience Abbe Leydet|A						ABBE, JOHN. Around the world in eleven years. By John Abbe, Richard Abbe & Patience Abbe. © 6Apr36; A92824. John Abbe, Richard Abbe & Patience Abbe Leydet (A); 2Mar64; R332913.
ba96be3b-52f8-5aea-9378-d8e524c88008	18	1	1	1	ABBOTT & WALKER, INC.	Promotional advertising. (Missing woman series, vol. A)	AA226858	1937-02-26	R337925	1964-05-18	Deward & Rich, Inc.|PWH						ABBOTT & WALKER, INC. Promotional advertising. (Missing woman series, vol. A) © 26Feb37; AA226858. Deward & Rich, Inc. (PWH); 18May64; R337925.
d2c709a8-bd40-5bfc-ba09-2fc1457491f6	18	1	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative quarterly pamphlet. Mar37.	A104679	1937-03-12	R335076	1964-04-06	Lawyers Co-operative Pub. Co. & West Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative quarterly pamphlet. © Lawyers Co-operative Pub. Co. & West Pub. Co. (PWH) Mar37. © 12Mar37; A104679. 6Apr64; R335076.
a8714f5d-b745-5723-893d-9549a1b7295c	18	1	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1936 cumulative annual pocket parts. 40 v.	A102504	1936-12-30	R330117	1964-01-06	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1936 cumulative annual pocket parts. 40 v. © 30Dec36; A102504. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 6Jan64; R330117.
2a3993f5-d268-5682-92b1-4b52321a05f6	18	1	1	1	ABELL, WALTER.	Representation and form; a study of aesthetic values in representational art. Introd. by Arthur Pope.	A96560	1936-07-17	R335690	1964-04-06	Marcelle A. Abell|W||Arthur Pope|A						ABELL, WALTER. Representation and form; a study of aesthetic values in representational art. Introd. by Arthur Pope. © 17Jul36; A96560. Marcelle A. Abell (W) & Arthur Pope (A); 6Apr64; R335690.
ee78f8e0-c860-57ab-9230-9ec0b832b97f	18	1	1	2	ADAMIC, LOUIS.	Aliens and alien baiters. (In Harper's magazine, Nov. 1936)	B318102	1936-10-20	R330802	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Aliens and alien baiters. (In Harper's magazine, Nov. 1936) © 20Oct36; B318102. Stana Adamic (NK); 27Jan64; R330802.
514f2ab1-5117-5aba-be4f-a3a4f42c6d9b	18	1	1	2	ADAMIC, LOUIS.	Cherries are red in San Joaquin. (In The Nation. June 27, 1936)	B304720	1936-06-24	R330801	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Cherries are red in San Joaquin. (In The Nation. June 27, 1936) © 24Jun36; B304720. Stana Adamic (NK); 27Jan64; R330801.
0d73ab9f-2cdc-523f-baac-a12e5d5e3c99	18	1	1	2	ADAMIC, LOUIS.	Education of a mountain. (In Harper's magazine, Apr. 1936)	B294609	1936-03-20	R330799	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Education of a mountain. (In Harper's magazine, Apr. 1936) © 20Mar36; B294609. Stana Adamic (NK); 27Jan64; R330799.
457a766f-7237-5ab3-bb79-ce7efbc24291	18	1	1	2	ADAMIC, LOUIS.	Harry Bridges comes East. (In The Nation, Dec. 26, 1936)	B323305	1936-12-23	R330805	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Harry Bridges comes East. (In The Nation, Dec. 26, 1936) © 23Dec36; B323305. Stana Adamic (NK); 27Jan64; R330805.
b103f48d-86c7-5639-92e2-23d6c242a49a	18	1	1	2	ADAMIC, LOUIS.	Harry Bridges, rank and file leader. (In The Nation, May 6, 1936)	B297949	1936-04-29	R330800	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Harry Bridges, rank and file leader. (In The Nation, May 6, 1936) © 29Apr36; B297949. Stana Adamic (NK); 27Jan64; R330800.
c1ab0db4-1cb8-5094-9ff8-261078657f0c	18	1	1	2	ADAMIC, LOUIS.	Shall we send them back to Hitler? (In The Nation. Mar. 25, 1936)	B294480	1936-03-18	R330798	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Shall we send them back to Hitler? (In The Nation. Mar. 25, 1936) © 18Mar36; B294480. Stana Adamic (NK); 27Jan64; R330798.
393a39a4-5274-5a36-b058-a2e6ba3a86bc	18	1	1	2	ADAMIC, LOUIS.	Sitdown. (In The Nation, Dec. 5-12, 1936)	B321406	1936-12-02	R330803	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Sitdown. (In The Nation, Dec. 5-12, 1936) © 2Dec36, B321406; 9Dec36, B321743. Stana Adamic (NK); 27Jan64; R330803-330804.
393a39a4-5274-5a36-b058-a2e6ba3a86bc	18	1	1	2	ADAMIC, LOUIS.	Sitdown. (In The Nation, Dec. 5-12, 1936)	B321743	1936-12-09	R330804	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Sitdown. (In The Nation, Dec. 5-12, 1936) © 2Dec36, B321406; 9Dec36, B321743. Stana Adamic (NK); 27Jan64; R330803-330804.
d13af377-b6b5-58c3-913a-9867e562d57f	18	1	1	3	ADAMS, FRANKLIN P.	The melancholy lute.	A99432	1936-10-16	R356566	1964-04-09	Anthony Adams, Jonathan A. Adams, Timothy Adams & Persephone Adams|C						ADAMS, FRANKLIN P. The melancholy lute. © 16Oct36; A99432. Anthony Adams, Jonathan A. Adams, Timothy Adams & Persephone Adams (C); 9Apr64; R356566.
